"","job_ad_id","job_city","job_industry","job_type","job_fed_contractor","job_equal_opp_employer","job_ownership","job_req_any","job_req_communication","job_req_education","job_req_min_experience","job_req_computer","job_req_organization","job_req_school","received_callback","firstname","race","gender","years_college","college_degree","honors","worked_during_school","years_experience","computer_skills","special_skills","volunteer","military","employment_holes","has_email_address","resume_quality"
"73",404,"Chicago","business_and_personal_service","clerical",0,0,"private",1,1,0,"",1,1,"none_listed",0,"Latoya","black","f",3,0,0,1,6,1,0,0,0,0,0,"low"
"74",405,"Chicago","wholesale_and_retail_trade","retail_sales",0,1,"unknown",0,0,0,"",0,0,"none_listed",0,"Laurie","white","f",4,1,0,0,5,0,1,0,0,0,0,"low"
"75",404,"Chicago","business_and_personal_service","clerical",0,0,"private",1,1,0,"",1,1,"none_listed",0,"Laurie","white","f",3,0,0,1,3,1,0,1,1,0,1,"high"
"76",405,"Chicago","wholesale_and_retail_trade","retail_sales",0,1,"unknown",0,0,0,"",0,0,"none_listed",0,"Leroy","black","m",4,1,0,0,4,1,1,0,0,0,0,"low"
"77",406,"Chicago","manufacturing","secretary",0,1,"private",1,1,0,"2",1,0,"none_listed",0,"Anne","white","f",4,1,0,1,12,1,0,1,0,0,1,"high"
"78",406,"Chicago","manufacturing","secretary",0,1,"private",1,1,0,"2",1,0,"none_listed",0,"Kenya","black","f",3,0,0,1,11,1,0,1,0,0,1,"high"
"79",406,"Chicago","manufacturing","secretary",0,1,"private",1,1,0,"2",1,0,"none_listed",0,"Latonya","black","f",4,1,1,0,9,1,0,0,0,1,0,"low"
"80",406,"Chicago","manufacturing","secretary",0,1,"private",1,1,0,"2",1,0,"none_listed",0,"Meredith","white","f",4,1,0,0,10,1,0,0,0,1,0,"low"
"81",407,"Chicago","other_service","manager",0,0,"nonprofit",1,0,1,"3",1,0,"college",0,"Jamal","black","m",4,1,0,0,5,1,1,0,0,1,0,"low"
"82",407,"Chicago","other_service","manager",0,0,"nonprofit",1,0,1,"3",1,0,"college",0,"Matthew","white","m",4,1,0,0,4,1,1,1,0,1,1,"high"
"83",407,"Chicago","other_service","manager",0,0,"nonprofit",1,0,1,"3",1,0,"college",0,"Neil","white","m",4,1,0,1,4,1,0,0,0,0,0,"low"
"84",407,"Chicago","other_service","manager",0,0,"nonprofit",1,0,1,"3",1,0,"college",0,"Tyrone","black","m",4,1,0,1,3,1,0,1,0,1,1,"high"
"85",410,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Leroy","black","m",2,0,0,0,4,0,1,1,0,0,1,"high"
"86",410,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",1,"Todd","white","m",2,0,0,1,7,1,0,1,0,1,1,"high"
"95",413,"Chicago","manufacturing","secretary",1,1,"public",1,0,0,"",1,0,"none_listed",0,"Aisha","black","f",4,1,0,0,10,1,1,1,0,1,1,"high"
"96",414,"Chicago","wholesale_and_retail_trade","manager",1,0,"private",1,0,0,"some",0,0,"none_listed",1,"Brett","white","m",2,0,0,1,4,0,0,1,0,1,1,"high"
"97",414,"Chicago","wholesale_and_retail_trade","manager",1,0,"private",1,0,0,"some",0,0,"none_listed",0,"Darnell","black","m",2,0,0,1,5,0,1,1,0,0,1,"high"
"98",413,"Chicago","manufacturing","secretary",1,1,"public",1,0,0,"",1,0,"none_listed",0,"Emily","white","f",4,1,0,1,11,1,0,1,0,1,1,"high"
"99",413,"Chicago","manufacturing","secretary",1,1,"public",1,0,0,"",1,0,"none_listed",0,"Latonya","black","f",4,1,0,1,3,1,1,0,0,0,0,"low"
"100",413,"Chicago","manufacturing","secretary",1,1,"public",1,0,0,"",1,0,"none_listed",0,"Sarah","white","f",4,1,0,0,2,1,1,0,0,1,0,"low"
"101",415,"Chicago","wholesale_and_retail_trade","supervisor",0,1,"public",1,0,0,"5",1,0,"none_listed",0,"Aisha","black","f",4,1,0,1,7,1,0,0,0,0,1,"high"
"102",415,"Chicago","wholesale_and_retail_trade","supervisor",0,1,"public",1,0,0,"5",1,0,"none_listed",0,"Anne","white","f",4,1,0,0,7,1,1,1,0,1,1,"high"
"103",416,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",1,0,0,"2",0,0,"none_listed",0,"Jermaine","black","m",4,1,0,1,4,0,0,1,0,1,1,"high"
"104",416,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",1,0,0,"2",0,0,"none_listed",0,"Neil","white","m",4,1,0,1,4,0,1,1,0,0,1,"high"
"106",418,"Chicago","wholesale_and_retail_trade","manager",0,1,"public",1,0,0,"some",0,0,"none_listed",1,"Anne","white","f",4,1,1,1,6,0,1,1,0,0,1,"high"
"108",418,"Chicago","wholesale_and_retail_trade","manager",0,1,"public",1,0,0,"some",0,0,"none_listed",1,"Latonya","black","f",4,1,0,1,6,0,1,1,0,1,1,"high"
"109",419,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Latonya","black","f",4,1,0,1,6,0,1,1,0,0,1,"high"
"110",419,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Laurie","white","f",4,1,0,1,6,0,1,1,1,0,1,"high"
"111",420,"Chicago","wholesale_and_retail_trade","manager",1,1,"public",1,0,0,"2",1,0,"none_listed",0,"Jay","white","m",4,1,1,1,6,0,1,1,0,0,1,"high"
"112",420,"Chicago","wholesale_and_retail_trade","manager",1,1,"public",1,0,0,"2",1,0,"none_listed",0,"Lakisha","black","f",4,1,0,1,4,0,0,1,0,0,1,"high"
"113",421,"Chicago","manufacturing","secretary",0,1,"public",1,0,0,"",1,0,"none_listed",0,"Anne","white","f",2,0,0,1,23,1,0,1,0,1,0,"low"
"114",421,"Chicago","manufacturing","secretary",0,1,"public",1,0,0,"",1,0,"none_listed",0,"Keisha","black","f",4,1,0,1,5,1,0,0,0,1,0,"low"
"115",421,"Chicago","manufacturing","secretary",0,1,"public",1,0,0,"",1,0,"none_listed",0,"Kristen","white","f",3,0,0,1,4,1,0,0,0,0,1,"high"
"116",421,"Chicago","manufacturing","secretary",0,1,"public",1,0,0,"",1,0,"none_listed",0,"Lakisha","black","f",4,1,1,1,4,1,0,0,0,1,0,"high"
"117",422,"Chicago","manufacturing","supervisor",0,1,"private",1,0,0,"5",1,0,"none_listed",0,"Allison","white","f",3,0,0,0,5,1,0,1,0,1,0,"high"
"118",422,"Chicago","manufacturing","supervisor",0,1,"private",1,0,0,"5",1,0,"none_listed",0,"Ebony","black","f",3,0,0,1,5,1,0,1,1,0,1,"high"
"119",422,"Chicago","manufacturing","supervisor",0,1,"private",1,0,0,"5",1,0,"none_listed",0,"Keisha","black","f",3,0,0,1,5,1,1,0,0,0,0,"low"
"120",423,"Chicago","wholesale_and_retail_trade","manager",0,1,"public",1,0,0,"some",0,0,"none_listed",0,"Kristen","white","f",2,0,0,0,1,0,1,1,0,1,0,"low"
"121",423,"Chicago","wholesale_and_retail_trade","manager",0,1,"public",1,0,0,"some",0,0,"none_listed",0,"Lakisha","black","f",4,1,0,0,5,0,1,0,0,0,0,"low"
"122",422,"Chicago","manufacturing","supervisor",0,1,"private",1,0,0,"5",1,0,"none_listed",0,"Meredith","white","f",4,1,0,1,5,1,0,0,0,1,0,"low"
"123",425,"Chicago","finance_insurance_real_estate","retail_sales",0,0,"unknown",1,0,0,"some",0,0,"none_listed",0,"Allison","white","f",4,1,0,0,5,0,0,0,0,0,0,"low"
"124",424,"Chicago","business_and_personal_service","supervisor",0,0,"private",1,0,0,"5",1,0,"none_listed",0,"Kristen","white","f",4,1,0,1,8,1,1,0,0,0,1,"high"
"125",425,"Chicago","finance_insurance_real_estate","retail_sales",0,0,"unknown",1,0,0,"some",0,0,"none_listed",0,"Lakisha","black","f",2,0,0,0,4,0,1,0,0,0,0,"low"
"126",424,"Chicago","business_and_personal_service","supervisor",0,0,"private",1,0,0,"5",1,0,"none_listed",0,"Lakisha","black","f",4,1,0,0,9,1,1,1,0,1,1,"high"
"129",428,"Chicago","wholesale_and_retail_trade","manager",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Aisha","black","f",4,1,0,1,6,0,0,1,0,1,1,"high"
"130",427,"Chicago","wholesale_and_retail_trade","supervisor",0,1,"private",1,0,0,"8",1,0,"none_listed",0,"Anne","white","f",3,0,0,1,8,1,0,0,0,0,1,"high"
"131",427,"Chicago","wholesale_and_retail_trade","supervisor",0,1,"private",1,0,0,"8",1,0,"none_listed",0,"Jill","white","f",4,1,0,1,9,1,0,0,0,1,0,"low"
"132",427,"Chicago","wholesale_and_retail_trade","supervisor",0,1,"private",1,0,0,"8",1,0,"none_listed",0,"Latoya","black","f",4,1,0,1,9,1,1,0,0,0,1,"high"
"133",428,"Chicago","wholesale_and_retail_trade","manager",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Neil","white","m",4,1,0,1,5,0,0,1,0,0,1,"high"
"134",427,"Chicago","wholesale_and_retail_trade","supervisor",0,1,"private",1,0,0,"8",1,0,"none_listed",0,"Tamika","black","f",4,1,0,0,10,1,0,0,0,1,0,"low"
"136",430,"Chicago","business_and_personal_service","manager",0,0,"private",1,0,0,"2",0,0,"none_listed",0,"Geoffrey","white","m",2,0,0,1,6,1,0,1,0,1,1,"high"
"138",430,"Chicago","business_and_personal_service","manager",0,0,"private",1,0,0,"2",0,0,"none_listed",0,"Rasheed","black","m",2,0,0,1,4,0,1,1,0,0,1,"high"
"139",431,"Chicago","manufacturing","supervisor",0,1,"private",1,0,1,"3",1,0,"high_school_grad",0,"Aisha","black","f",3,0,0,1,6,1,0,0,0,0,0,"low"
"140",431,"Chicago","manufacturing","supervisor",0,1,"private",1,0,1,"3",1,0,"high_school_grad",0,"Allison","white","f",3,0,0,1,4,1,0,1,1,0,1,"high"
"141",431,"Chicago","manufacturing","supervisor",0,1,"private",1,0,1,"3",1,0,"high_school_grad",0,"Carrie","white","f",2,0,0,0,6,1,0,0,0,0,0,"low"
"143",431,"Chicago","manufacturing","supervisor",0,1,"private",1,0,1,"3",1,0,"high_school_grad",0,"Kenya","black","f",3,0,0,1,5,1,0,1,0,0,1,"high"
"145",433,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Jermaine","black","m",2,0,0,0,6,0,0,0,0,0,0,"low"
"146",433,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Laurie","white","f",2,0,0,0,4,0,1,0,0,0,0,"low"
"147",434,"Chicago","other_service","secretary",0,1,"unknown",1,0,0,"5",1,0,"none_listed",0,"Allison","white","f",2,0,0,1,7,1,0,1,0,1,0,"low"
"148",434,"Chicago","other_service","secretary",0,1,"unknown",1,0,0,"5",1,0,"none_listed",0,"Kristen","white","f",3,0,0,1,9,1,0,0,0,0,1,"high"
"149",434,"Chicago","other_service","secretary",0,1,"unknown",1,0,0,"5",1,0,"none_listed",0,"Lakisha","black","f",4,1,1,0,7,1,0,0,0,1,0,"low"
"150",434,"Chicago","other_service","secretary",0,1,"unknown",1,0,0,"5",1,0,"none_listed",0,"Latonya","black","f",3,0,0,0,8,1,0,1,0,1,1,"high"
"151",435,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Brad","white","m",4,1,0,0,6,1,1,0,0,1,0,"low"
"152",435,"Chicago","wholesale_and_retail_trade","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Leroy","black","m",4,1,0,0,9,1,1,0,0,1,0,"low"
"157",438,"Chicago","business_and_personal_service","retail_sales",0,0,"unknown",1,1,0,"",0,0,"none_listed",0,"Aisha","black","f",4,1,0,0,14,0,0,0,0,0,1,"high"
"158",437,"Chicago","business_and_personal_service","manager",0,0,"private",1,0,0,"some",1,0,"none_listed",0,"Allison","white","f",4,1,0,1,12,1,0,0,0,1,0,"low"
"159",437,"Chicago","business_and_personal_service","manager",0,0,"private",1,0,0,"some",1,0,"none_listed",0,"Ebony","black","f",4,1,0,0,7,1,1,0,1,1,1,"high"
"160",438,"Chicago","business_and_personal_service","retail_sales",0,0,"unknown",1,1,0,"",0,0,"none_listed",0,"Jermaine","black","m",3,0,0,0,3,0,1,0,0,1,0,"low"
"161",438,"Chicago","business_and_personal_service","retail_sales",0,0,"unknown",1,1,0,"",0,0,"none_listed",0,"Kristen","white","f",2,0,0,0,1,0,1,0,0,0,0,"low"
"162",437,"Chicago","business_and_personal_service","manager",0,0,"private",1,0,0,"some",1,0,"none_listed",0,"Latonya","black","f",4,1,1,0,5,1,0,0,0,1,0,"low"
"163",437,"Chicago","business_and_personal_service","manager",0,0,"private",1,0,0,"some",1,0,"none_listed",0,"Laurie","white","f",4,1,0,1,21,1,0,0,0,1,1,"high"
"164",438,"Chicago","business_and_personal_service","retail_sales",0,0,"unknown",1,1,0,"",0,0,"none_listed",0,"Laurie","white","f",4,1,0,0,2,1,1,0,0,1,1,"high"
"166",440,"Chicago","business_and_personal_service","sales_rep",0,1,"unknown",0,0,0,"",0,0,"none_listed",1,"Brendan","white","m",4,1,0,0,10,1,0,0,0,1,1,"high"
"167",440,"Chicago","business_and_personal_service","sales_rep",0,1,"unknown",0,0,0,"",0,0,"none_listed",0,"Kareem","black","m",4,1,0,0,10,0,1,0,0,1,1,"high"
"169",440,"Chicago","business_and_personal_service","sales_rep",0,1,"unknown",0,0,0,"",0,0,"none_listed",1,"Matthew","white","m",4,1,0,0,6,1,1,0,1,1,0,"low"
"172",440,"Chicago","business_and_personal_service","sales_rep",0,1,"unknown",0,0,0,"",0,0,"none_listed",1,"Tanisha","black","f",3,0,0,1,11,1,1,0,0,1,0,"low"
"173",125,"Boston","business_and_personal_service","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Aisha","black","f",4,1,0,1,14,1,1,1,0,0,0,"high"
"174",125,"Boston","business_and_personal_service","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Allison","white","f",4,1,0,0,8,1,0,0,0,0,0,"low"
"175",73,"Boston","wholesale_and_retail_trade","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Allison","white","f",4,1,0,0,18,1,0,1,0,0,0,"high"
"176",201,"Boston","other_service","retail_sales",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Anne","white","f",4,1,0,0,7,0,0,0,0,1,0,"low"
"178",100,"Boston","other_service","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Brett","white","m",4,1,0,0,26,0,0,0,0,0,0,"low"
"179",1,"Boston","manufacturing","manager",0,1,"private",1,0,1,"3",0,0,"some_college",0,"Brett","white","m",4,1,0,0,18,1,0,1,0,0,0,"high"
"181",201,"Boston","other_service","retail_sales",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Ebony","black","f",4,1,0,1,6,1,0,0,0,0,0,"low"
"182",73,"Boston","wholesale_and_retail_trade","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Geoffrey","white","m",4,1,0,0,26,0,0,0,0,0,0,"low"
"183",125,"Boston","business_and_personal_service","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Jay","white","m",4,1,0,0,18,1,0,1,0,0,0,"high"
"184",225,"Boston","other_service","manager",0,1,"nonprofit",1,0,1,"2",0,0,"some_college",0,"Jill","white","f",4,1,0,0,18,1,0,1,0,0,0,"high"
"185",225,"Boston","other_service","manager",0,1,"nonprofit",1,0,1,"2",0,0,"some_college",0,"Keisha","black","f",4,1,0,0,8,1,0,0,0,0,0,"low"
"187",73,"Boston","wholesale_and_retail_trade","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Kenya","black","f",4,1,0,0,8,1,0,0,0,0,0,"low"
"188",100,"Boston","other_service","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Kenya","black","f",4,1,0,1,14,1,1,1,0,0,0,"high"
"189",1,"Boston","manufacturing","manager",0,1,"private",1,0,1,"3",0,0,"some_college",0,"Lakisha","black","f",4,1,0,0,26,0,0,0,0,0,0,"low"
"190",100,"Boston","other_service","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Latoya","black","f",4,1,0,0,8,1,0,0,0,0,0,"low"
"191",73,"Boston","wholesale_and_retail_trade","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Latoya","black","f",4,1,0,1,14,1,1,1,0,0,0,"high"
"192",100,"Boston","other_service","manager",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Laurie","white","f",4,1,0,0,18,1,0,1,0,0,0,"high"
"193",1,"Boston","manufacturing","manager",0,1,"private",1,0,1,"3",0,0,"some_college",0,"Matthew","white","m",4,1,0,0,8,1,0,0,0,0,0,"low"
"194",225,"Boston","other_service","manager",0,1,"nonprofit",1,0,1,"2",0,0,"some_college",0,"Rasheed","black","m",4,1,0,1,14,1,1,1,0,0,0,"high"
"195",225,"Boston","other_service","manager",0,1,"nonprofit",1,0,1,"2",0,0,"some_college",0,"Sarah","white","f",4,1,0,0,26,0,0,0,0,0,0,"low"
"196",201,"Boston","other_service","retail_sales",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Sarah","white","f",4,1,0,1,2,1,0,1,1,0,1,"high"
"197",125,"Boston","business_and_personal_service","manager",0,1,"private",1,0,0,"3",0,0,"none_listed",0,"Tamika","black","f",4,1,0,0,26,0,0,0,0,0,0,"low"
"198",1,"Boston","manufacturing","manager",0,1,"private",1,0,1,"3",0,0,"some_college",0,"Tanisha","black","f",4,1,0,1,14,1,1,1,0,0,0,"high"
"199",201,"Boston","other_service","retail_sales",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Tanisha","black","f",4,1,0,1,8,1,0,1,0,0,1,"high"
"201",441,"Chicago","business_and_personal_service","manager",0,1,"private",1,0,0,"5",1,0,"none_listed",1,"Lakisha","black","f",4,1,0,1,8,1,0,0,0,0,1,"high"
"202",441,"Chicago","business_and_personal_service","manager",0,1,"private",1,0,0,"5",1,0,"none_listed",1,"Meredith","white","f",4,1,0,0,8,1,1,1,0,1,1,"high"
"211",445,"Chicago","business_and_personal_service","secretary",0,0,"private",1,1,0,"",1,1,"none_listed",1,"Jill","white","f",4,1,1,1,4,1,0,0,0,1,1,"high"
"212",445,"Chicago","business_and_personal_service","secretary",0,0,"private",1,1,0,"",1,1,"none_listed",0,"Keisha","black","f",4,1,0,0,5,1,0,0,0,1,0,"low"
"213",445,"Chicago","business_and_personal_service","secretary",0,0,"private",1,1,0,"",1,1,"none_listed",0,"Lakisha","black","f",3,0,0,1,4,1,0,1,1,0,1,"high"
"214",445,"Chicago","business_and_personal_service","secretary",0,0,"private",1,1,0,"",1,1,"none_listed",0,"Meredith","white","f",2,0,0,0,6,1,0,0,0,0,0,"low"
"215",446,"Chicago","business_and_personal_service","retail_sales",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Carrie","white","f",3,0,0,0,7,0,0,0,0,0,0,"low"
